"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.084441423E-1,6.506238235E1,2.546837522E1,2.394818115E1,0.000000000E0,NaN,3.526249191E0,3.000000000E0
1.808431983E0,6.506237971E1,2.546837273E1,2.320751953E1,0.000000000E0,NaN,3.529386121E0,3.000000000E0
2.808413029E0,6.506237452E1,2.546837548E1,2.205450821E1,0.000000000E0,NaN,3.529386106E0,3.000000000E0
3.808393955E0,6.506237417E1,2.546837290E1,2.163720894E1,0.000000000E0,NaN,3.529386137E0,3.000000000E0
4.808378577E0,6.506237350E1,2.546836930E1,2.148901367E1,0.000000000E0,NaN,3.529386169E0,3.000000000E0
5.808357716E0,6.506237425E1,2.546836411E1,2.170654106E1,0.000000000E0,NaN,3.529386110E0,3.000000000E0
6.808345079E0,6.506237517E1,2.546836233E1,2.164300156E1,0.000000000E0,NaN,3.529386200E0,3.000000000E0
7.808329105E0,6.506237517E1,2.546836233E1,2.164300544E1,0.000000000E0,NaN,4.733786940E0,4.029364438E0
8.808309674E0,6.506237680E1,2.546836008E1,2.182373054E1,0.000000000E0,NaN,4.733827778E0,4.029364438E0
9.808295608E0,6.506237681E1,2.546836006E1,2.182373054E1,0.000000000E0,NaN,4.733879819E0,4.029364438E0
1.080828190E1,6.506237943E1,2.546834907E1,2.205394180E1,0.000000000E0,NaN,4.733827881E0,4.029364438E0
1.180826592E1,6.506238782E1,2.546836959E1,2.172014815E1,0.000000000E0,NaN,4.724417891E0,4.029364438E0
1.280826521E1,6.506239567E1,2.546837104E1,2.090874109E1,5.400000215E-1,3.311718700E2,4.733827744E0,4.029364438E0
1.380825365E1,6.506240212E1,2.546834489E1,2.016318524E1,8.500000238E-1,3.125390504E2,4.741236623E0,4.029364438E0
1.480824029E1,6.506239200E1,2.546828590E1,1.939838243E1,1.500000000E0,2.640234088E2,4.744920017E0,4.029364438E0
1.580822694E1,6.506238712E1,2.546826234E1,1.846934725E1,1.519999981E0,2.636718459E2,4.748651530E0,4.029364438E0
1.680821502E1,6.506239128E1,2.546824839E1,1.800388933E1,1.500000000E0,2.770312213E2,4.748651530E0,4.029364438E0
1.780820334E1,6.506239082E1,2.546823607E1,1.754879965E1,9.499999881E-1,2.735156067E2,4.748651530E0,4.029364438E0
1.880819297E1,6.506239136E1,2.546820262E1,1.752125182E1,9.499999881E-1,2.731640442E2,4.748651530E0,4.029364438E0
1.980818284E1,6.506238976E1,2.546815741E1,1.698662018E1,1.450000048E0,2.661327846E2,4.748651530E0,4.029364438E0
2.080817258E1,6.506238980E1,2.546813016E1,1.643204331E1,1.450000048E0,2.664843471E2,4.748651530E0,4.029364438E0
2.180816305E1,6.506239005E1,2.546809748E1,1.613600182E1,1.450000048E0,2.661327846E2,4.748651530E0,4.029364438E0
2.280815411E1,6.506239040E1,2.546806601E1,1.607140372E1,1.370000005E0,2.692968486E2,4.748651530E0,4.029364438E0
2.380814576E1,6.506238947E1,2.546804025E1,1.567911932E1,1.370000005E0,2.661327862E2,4.748651530E0,4.029364438E0
2.480813706E1,6.506238786E1,2.546801248E1,1.566530249E1,1.360000014E0,2.640234114E2,4.748651530E0,4.029364438E0
2.580812991E1,6.506239038E1,2.546798183E1,1.580634138E1,1.360000014E0,2.749218489E2,4.748651530E0,4.029364438E0
2.680812192E1,6.506239161E1,2.546795302E1,1.541849920E1,1.340000033E0,2.752734118E2,4.748651530E0,4.029364438E0
