"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.502791668E-3,5.516717137E-1,2.374989894E-1,-1.102066834E0
1.545879166E-2,3.858089367E-1,2.570237195E-1,-9.340991324E-1
2.541479167E-2,1.919056177E-1,2.838697484E-1,-5.665156746E-1
3.537079167E-2,4.638457306E-2,2.329828924E-1,-2.892921638E-1
4.532679166E-2,4.588993516E-2,6.188576102E-2,-7.220083416E-2
5.528279167E-2,1.049522950E-1,-9.323677719E-2,7.738380611E-2
6.523879166E-2,2.305186564E-1,-1.852292669E-1,2.056366342E-1
7.519479166E-2,3.816105627E-1,-1.680147716E-1,2.372928751E-1
8.515079167E-2,3.762839320E-1,-1.075130466E-1,2.191951579E-1
9.510579167E-2,1.695234629E-1,-4.037911713E-2,1.343292546E-1
1.050617917E-1,-1.207761396E-1,-5.972755373E-2,-9.466291308E-2
1.150177917E-1,-3.972054158E-1,-1.507909209E-1,-4.374594390E-1
1.249737917E-1,-5.469298776E-1,-2.140148172E-1,-7.006893933E-1
1.349297917E-1,-4.660231971E-1,-2.206937993E-1,-8.143060559E-1
1.448857917E-1,-1.758035370E-1,-1.252698711E-1,-7.668693495E-1
1.548417917E-1,-7.440234739E-3,5.278661638E-2,-5.160278910E-1
1.647977917E-1,1.244057074E-1,1.057243833E-1,5.336753726E-3
1.747537917E-1,3.730872957E-1,1.335784721E-1,6.228220224E-1
1.847097917E-1,5.317230604E-1,1.344649100E-1,1.090460696E0
1.946657917E-1,5.546015342E-1,4.461922556E-2,1.304829562E0
2.046207917E-1,5.292811169E-1,-1.002417415E-2,1.259846347E0
2.145767917E-1,4.681439823E-1,1.600646049E-2,9.854721844E-1
2.245327917E-1,1.897797528E-1,2.911825687E-2,8.183131528E-1
2.344887917E-1,-4.698502729E-3,-1.094569534E-2,7.222486621E-1
2.444447917E-1,-1.658387303E-1,-6.543560565E-2,8.042494297E-1
2.544007917E-1,-3.279553059E-1,-9.272748470E-2,7.853255010E-1
2.643567917E-1,-2.771557196E-1,-9.892670274E-2,6.734507239E-1
2.743127917E-1,-1.767104949E-1,-1.205146229E-1,7.061729121E-1
2.842687917E-1,-2.052865322E-1,-1.422849762E-1,5.340466708E-1
2.942247917E-1,-3.142561933E-1,-1.806406644E-1,3.126728404E-1
3.041807917E-1,-3.756598514E-1,-2.872114322E-1,8.570088565E-2
3.141357917E-1,-2.947539384E-1,-3.230598342E-1,-1.804912680E-1
3.240917917E-1,-1.514984339E-1,-1.458985555E-1,-3.827487963E-1
3.340477917E-1,9.129732884E-3,4.234319687E-2,-5.199227214E-1
3.440037917E-1,2.268743793E-1,2.201681346E-1,-5.047643995E-1
